,DN,Unnamed: 0,Unnamed: 0.1,text,label,is_about_class,is_about_disability,is_about_ethnicity,is_about_gender,is_about_nationality,is_about_religion,is_about_sexual_orientation,language
26,261,254,254,Das nächste mal vertecke ich #rapefugees in ihrer Torte sie dumme Nazi sau #tortalerkrieg,0.0,False,False,True,False,True,False,False,deu
27,0,1011,4270,@NicoleADietrich chug pee,0.0,False,False,True,False,False,False,False,eng
28,1,3971,17089,"RT @Revenant0202: Seriously, Florida. A vote for Charlie Christ is a vote for taxes and ebola.",0.0,False,False,True,False,True,False,False,eng
29,2,3013,12740,Man talk to em RT @StraightCash08: Of course nothing is wrong with applebee&#8217;s if you like trash food.,0.0,True,False,True,False,False,False,False,eng
30,3,3231,13729,Oriental rugs cause I'm flyer than a dove.,0.0,False,False,True,False,False,False,False,eng
31,4,2416,9497,Good morning Charlie @Charlie4927 @jrstws @qnoftherealm @SavvyHuman @scdorn @yrwol7 @PlainUnamerican @ErickInNC @PuterPrsn @tomwfry,0.0,False,False,True,False,True,False,False,eng
32,5,642,2946,"@DaRealAlexInLA @Woody_AFC @Rodriguez5_ the nig is fun to watch got to admit, ebola boy can speak broken Spanish too lol",1.0,False,False,True,False,False,False,False,eng
33,7,5130,22421,Video: Charlie Baker remembers Tom Menino http://t.co/vdaOWLZksv,0.0,False,False,True,False,True,False,False,eng
34,8,1144,4710,@Sisson11Noah there is a bird here on the ground and it's still alive I can't believe it,0.0,False,False,False,True,False,False,False,eng
35,9,5152,22475,Want to touch tha boootyyyyy....neeeeed to touch the heinie &#127825;,0.0,False,False,False,False,True,False,False,eng
36,10,3963,17048,RT @RayIopez: When you're approaching your high score in flappy bird and die one pipe away http://t.co/bI1RQ6A1ur,0.0,False,False,False,True,False,False,False,eng
37,11,5590,24777,you're such a retard i hope you get type 2 diabetes and die from a sugar rush you fucking faggot @Dare_ILK,1.0,False,True,False,False,False,False,True,eng
38,12,5488,24254,never have I seen a toddler chug a water bottle so fast lol,0.0,False,False,True,False,False,False,False,eng
39,13,117,674,"#BigBird was made by a gay couple. So yes, under a GOP world the bird would not have existed since its creators would be in jail for sodomy.",0.0,False,False,False,True,False,False,True,eng
40,14,2564,10309,I found your arm in that trash receptacle and your leg in the mud down by that stream.You should consider keeping better track of your limbs,0.0,True,False,True,False,False,False,False,eng
41,15,2582,10472,"I hate that my mom says she trying to move out here... Like bitch the only reason your ""trying"" is because you don't have a place to live..",1.0,False,False,False,True,False,False,False,eng
42,16,1540,6039,@gonzalez_sassy ur not sassy white trash change ur username,1.0,True,False,True,False,False,False,False,eng
43,18,1466,5855,@discordianslip I hope my fuzzy head doesnt tickle too much.,0.0,False,False,True,False,False,False,False,eng
44,19,5131,22422,Video: On The Record: Charlie Baker http://t.co/lXK0YyCVR4,0.0,False,False,True,False,True,False,False,eng
45,20,3360,14213,"RT @ArcticFox2016: 150 Christians MASSACRED By Jihadi Muslims While They Slept! Including Pastor, His Wife &amp; Kids http://t.co/VnR60MjFo6",0.0,False,False,True,False,False,True,False,eng
46,21,5435,24008,i think i need to watch dawn of the planet of the apes now...,0.0,False,False,True,False,False,False,False,eng
47,22,3961,17033,"RT @RapBars_: Joey Badass said ""Traded in my Nikes for a new mic, I guess it's safe to say he sold his soles for a new life""",0.0,False,False,True,False,True,False,False,eng
48,25,386,1983,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/sPVogfyXZT,0.0,False,False,True,False,False,False,False,eng
49,26,568,2680,@Brenddan_ wow!!! Are you comin back up here? &#128514;&#128514;&#128514;&#128514; they some bitch niggas,1.0,False,False,True,True,False,False,False,eng
50,27,3576,15215,RT @FoodPornsx: Oreo ice cream. ~ http://t.co/thrkAobdVj,0.0,False,False,True,False,False,False,False,eng
51,28,1862,7191,@tracieeeeee wha? me? i'm just waiting for showtime to bring back queer as folk.,0.0,False,False,False,False,False,False,True,eng
52,31,4544,19737,RT @neiltyson: Just to settle it once and for all: Which came first the Chicken or the Egg? The Egg -- laid by a bird that was not a Chicken,0.0,False,False,False,True,False,False,False,eng
53,32,4805,20961,So many hoes whipped you would have thought we were still in slavery,1.0,False,False,False,True,False,False,False,eng
54,34,2461,9712,Hazlenut coffee and graham crackers every morning &#128525;&#128588;&#128152;,0.0,True,False,True,False,False,False,False,eng
55,35,2024,7937,"Baked Montreal chicken, cheesy brussels sprouts, garlic butter triple cheddar &amp; chives yellow mashed&#8230; http://t.co/XsGW1kSqCW",0.0,False,False,True,False,False,False,False,eng
56,36,1320,5314,@_JaelynBeeee somebody looks like the die on the first tubes on flappy bird lol!,0.0,False,False,False,True,False,False,False,eng
57,37,2586,10499,I hate when black people try and be white so bad ... Your a nigger,1.0,False,False,True,False,False,False,False,eng
58,38,4209,18150,"RT @Yankees: Ballgame over, #Yankees WIN! Yanks beat the White Sox in 10 innings, 4-3.",0.0,False,False,False,False,True,False,False,eng
59,39,815,3538,@ItsYOUR_man nothin much cousin touching white trash wigger wannabe bitch boy dick sucking fucking gay bitch,1.0,True,False,True,True,True,False,True,eng
60,40,2710,11063,I was told never fold &amp; never sell my sole,0.0,False,False,True,False,True,False,False,eng
61,41,335,1708,&#8220;@boojieque: &#128514;&#128169;RT @WebbMadeThis: Lemme find out you niggaz letting bitches shit on yo faces&#8221; &#128557; niggas is weirdos,1.0,False,False,True,True,False,False,False,eng
62,42,114,663,"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding",1.0,True,False,True,False,False,False,False,eng
63,43,2126,8424,Charlie Daniels couldve done a better job! #MNF,0.0,False,False,True,False,True,False,False,eng
64,44,3749,16059,RT @KissMy_klASSy: Exactly. .same shit I said&gt;&gt;&gt; @Im_Yung_Jay: So nobody think Mimi was outta line for inviting Stevie J to the gay nicca v&#8230;,1.0,False,False,True,False,False,False,True,eng
65,45,4393,19055,RT @gojackets973: @WesDurham its the start of another yellow jacket season tonight!!! How about a RT for ALL the Jacket Fans!!! #GTVT1 ...,0.0,False,False,True,False,False,False,False,eng
66,46,2784,11547,If i wasn't a Yankee fan i probably would be a SF Giants fan LOL,0.0,False,False,False,False,True,False,False,eng
67,47,4437,19310,RT @jackwadeshow: Funny how Rick Scott accuses Charlie Crist of changing his positions on everything. Rick's positions are dictated by corp&#8230;,0.0,False,False,True,False,True,False,False,eng
68,48,1516,5975,@foreverschmoked vertical nip bars..I already have horizontal ones so I think it'll look hella cute,0.0,False,False,False,False,True,False,False,eng
69,49,1459,5832,@delaney_guinan you did a good job doing that to me and not texting back faggot,1.0,False,False,False,False,False,False,True,eng
70,50,5195,22638,What's a trash party ?,0.0,True,False,True,False,False,False,False,eng
71,51,3257,13794,People on this site are fucking retarded sometimes,1.0,False,True,False,False,False,False,False,eng
72,52,5586,24737,yea so about @N_tel 's new friend.. all my friends kno they're only allowed one cute darkie friend n that's me! lol,0.0,False,False,True,False,False,False,False,eng
73,54,1403,5661,@brianstelter took uber yesterday. Advertised as 20% &lt; NY taxis but was actually a yellow taxi at same price. #uber,0.0,False,False,True,False,False,False,False,eng
74,55,2864,12038,"Jason admitted you're a stuck up bitch lol, which you are. Think you're so much better than everycunt, naaaaa",1.0,False,False,False,True,False,False,False,eng
75,56,342,1777,&#8220;@iCARLEYBBY: &#8220;@DJZeeti: twitpic a selfie with light colored eyes&#8221; http://t.co/BSOYlL83Iz&#8221;&#128525;,0.0,False,False,True,False,False,False,False,eng
76,57,2728,11161,I'll be a Yankee fan forever,0.0,False,False,False,False,True,False,False,eng
77,59,4460,19375,RT @joselopez222: Aurora is more ghetto then the bellos &#128514;&#128557;,0.0,False,False,True,False,False,False,False,eng
78,62,3578,15217,RT @FoodTabloid: Oreo cake http://t.co/iJ0idCAQMl,0.0,False,False,True,False,False,False,False,eng
79,63,3442,14556,RT @CHlLDHOODRUINER: iphone 6 is trash watch me glo up http://t.co/XYwPaslCoB,0.0,True,False,True,False,False,False,False,eng
80,64,3669,15666,RT @ItsFoodPorn: Cookies n' Cream Oreo Fudge Ice Cream http://t.co/nAINpWXTJc,0.0,False,False,True,False,False,False,False,eng
81,65,1189,4822,@THERACISTDOCTOR One less little nigger that would grow up into a big nigger.,1.0,False,False,True,False,False,False,False,eng
82,68,1498,5922,@elise_palmer sounds like gypos to me - they used to do this all the time where I lived,0.0,False,False,True,False,False,False,False,eng
83,70,770,3389,@Honeysuckle_Tav Well he canonically plays the troll equivalent of Pokemon... *throws the new Fairy type at him*,0.0,False,False,False,False,False,False,True,eng
84,71,2870,12059,Jihadi John has struck again. Prayers with the victims' families. What is the #bounty on His head? Time 4 him 2 meet allah,0.0,False,False,True,False,False,True,False,eng
85,72,3812,16339,RT @MNYves: He's an idiot. RT @M00n_baby: miserable trash excuse for a man http://t.co/jtL7Uis2YM,0.0,True,False,True,False,False,False,False,eng
86,73,779,3408,"@HuffingtonPost im American, don't give 2 shits about the beaners, ship them beaners back",1.0,False,False,True,False,False,False,False,eng
87,74,766,3369,@Herfarm @SteveWorks4You @TheDemocrats your low info redneck dumbasses vote for these corporate shills that idiots like you believe #dummies,1.0,True,True,False,False,False,False,False,eng
88,75,829,3591,@JacobbBacker fag,1.0,False,False,False,False,False,False,True,eng
89,76,1458,5829,@delaney_guinan a faggot that needs to grow up,1.0,False,False,False,False,False,False,True,eng
90,79,3592,15296,"RT @FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/rJVOVoO53l",0.0,False,False,True,False,False,False,False,eng
91,80,3206,13660,Only Americans would hire white trash with ties to international terrorism as police officers.,1.0,True,False,True,False,False,False,False,eng
92,82,4955,21550,The ending to that Yankee game was so planned I can't even take it,0.0,False,False,False,False,True,False,False,eng
93,84,66,395,"""@socass_: Dude remember this wop video? @00sexilexi00 http://t.co/P3HEuBOQBu"" OMG WHERE DID YOU FIND THAT",0.0,False,False,False,False,True,False,False,eng
94,85,1099,4576,"@RottenStench
Dat was Charlie",0.0,False,False,True,False,True,False,False,eng
95,86,2700,11022,I want a four loco right now so I can chug it and go straight to sleep.,0.0,False,False,True,False,False,False,False,eng
96,87,79,509,"""Is that an albino Mexican?""
""No dad, he's Asian.""",0.0,False,False,True,False,False,False,False,eng
97,89,359,1925,"&#8220;@thejanicexxx: o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lmao&#8221; you can dm me",1.0,False,False,False,True,False,False,False,eng
98,91,1155,4738,@SportsGrind @RudyJay711 that was my mock done on a simulator check it out pick your team how many rounds and go for it,0.0,False,False,True,False,False,False,False,eng
99,92,1599,6258,@jessitron @Bsilverstrim77 ...in fact were I to start a for-profit university this would be the sole requirement for graduation!,0.0,False,False,True,False,True,False,False,eng
100,93,1984,7763,And where do you think unsold items from thrift stores go? The garbage. Think of all the great games that are in trash dumps as we speak :(,0.0,True,False,True,False,False,False,False,eng
101,94,712,3184,@Flow935 jus wanted to let y&#225;ll know hope the hurricane kills your soca sunday trash #LORDWILLIN,1.0,True,False,True,False,False,False,False,eng
102,95,4662,20224,RT @trayn1gga: Alabama is overrated this yr the last 2 weeks has shown too many chinks in their armor WV gave them hell too,0.0,False,False,False,False,True,False,False,eng
103,100,4590,19925,RT @ripienaar: Fox News presenters mock female pilot who took part in campaign against Isis #wtf http://t.co/MLKY9ZSen2,0.0,False,False,True,False,False,False,False,eng
104,101,460,2283,99 percent of the trash we dump in the sea is missing. This is not a good thing &#8594; http://t.co/CwC2LWCV3T http://t.co/Y0kt02HLm1,0.0,True,False,True,False,False,False,False,eng
105,102,422,2174,...aaaaaaaaand it begins. RT @RileydaKafka: Fucking niggers that's all Kentucky is and ever will be,1.0,False,False,True,False,False,False,False,eng
106,103,3068,12962,My best friend loves Justin beiber what a fag &#128557;&#128514;&#128557; @Cryystalina,1.0,False,False,False,False,False,False,True,eng
107,104,1957,7583,All da lil bald headed bitches standn outside of kevin gates tryna get in &#128514;&#128514;&#128514;,1.0,False,False,False,True,False,False,False,eng
108,105,1116,4618,@S_Roach happy birthday nicca do coon shit in a responsible way.,1.0,False,False,True,False,False,False,False,eng
109,106,1370,5550,@asshole_king with pills that nig will last 4 years. Like magic j .That nig should hav died years ago. Y'all the first team to draft gay.,1.0,False,False,True,False,False,False,False,eng
110,107,2331,9162,"For those wondering why DHS was buying up all the ammo, now you know. Once the Charlie Manson er, @BarackObama race war starts its on #POTUS",0.0,False,False,True,False,True,False,False,eng
111,109,3012,12736,Man in zebra print dress robs bank http://t.co/3xaPAYzbge,0.0,False,False,True,False,False,False,False,eng
112,111,1945,7535,"Ain't shit like fucking another nigga bitch and askin her ""who pussy is this"" and she say yours lmao no bitch im stealing this pussy lol",1.0,False,False,True,True,False,False,False,eng
113,112,3321,14064,"RT @AChosenWord: Of rain showers
&amp; weepy fog
of soft light
&amp; cool touch
of wild wind
that carry music of birds
who cease to soar;
this feel&#8230;",0.0,False,False,False,True,False,False,False,eng
114,113,3470,14733,RT @ClutchLikeMJ: Tennessee isn't even orange it's like vitamin pee yellow &#128553;&#128514;&#128514;&#128514;,0.0,False,False,True,False,False,False,False,eng
115,114,5329,23462,You're all faggot fuckheads.,1.0,False,False,False,False,False,False,True,eng
116,116,645,2958,@DangItsTiff you look like fucking shrek bitch,1.0,False,False,False,True,False,False,False,eng
117,117,463,2296,"@05proFESSOR Charlie Sheen could coach better than Crusty Dusty. Yeah they hired Bryan Price, the pitching coach",0.0,False,False,True,False,True,False,False,eng
118,118,4137,17859,RT @TrueNovacane: Only pussy niggas wouldn't fuck with a chick if she has stretch marks..,1.0,False,False,True,True,False,False,False,eng
119,119,3889,16636,RT @NiallOfficial: Absolutely perfect day in London! Suns out! Gona be a cracker at wembley tonight ! Yeaaaaahhhh!,0.0,True,False,True,False,False,False,False,eng
120,120,5325,23422,You state it gook,1.0,False,False,True,False,False,False,False,eng
121,121,2254,8913,Early bird get the worm.,0.0,False,False,False,True,False,False,False,eng
122,122,985,4178,@MrMooncricket @AtBlackface @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 ugly gay nigga bitch fucking peace of shit,1.0,False,False,True,True,False,False,True,eng
123,123,5493,24298,"note to self: boiling water hot, monkey brain",0.0,False,False,True,False,False,False,False,eng
124,126,1890,7272,@wclemons @thejoelberggren @anthonycumia you little fag. At least I will fuck a Woman to have kids. Plus work to support them. Hipster homo,1.0,False,False,False,True,False,False,True,deu
125,127,4506,19627,RT @mandylea25: I've talked too much trash for OU to lose today..,0.0,True,False,True,False,False,False,False,eng
126,128,2503,9922,How is Angry Birds the movie going to work? They're just floating bird heads?,0.0,False,False,False,True,False,False,False,eng
127,129,1657,6529,@kristin12909 better nig. Lol but if anything ill flip u the 10 or something. Im tryna get some more cash,1.0,False,False,False,False,True,False,False,eng
128,131,5428,23974,i dont think women should wear flesh tone colored pants... lol,0.0,False,False,True,False,False,False,False,eng
129,132,3767,16124,"RT @LVL_KY_Events: Nov 22,2012: Thanksgiving Dinner: 2:00pm: Proof on Main. A day being preoccupied with a giant bird in your... http:// ...",0.0,False,False,False,True,False,False,False,eng
130,133,64,384,"""@rugbysocklad: Fit lads! Nice gear! http://t.co/ThnXX1lC1M"" these scally lads n trainers would get it",0.0,True,False,False,False,False,False,False,eng
131,134,1925,7464,A pharaohs nd his angry bird http://t.co/jMC2eR32Ka,0.0,False,False,False,True,False,False,False,eng
132,135,1160,4745,"@StarkFreeOrDie ...I fuckin' want OUT&gt; I'm tired of this bullshit faggot ass, closet racist, wannabe-commune-without-railroad state&gt; #Cali",1.0,False,False,False,False,False,False,True,eng
133,137,1394,5627,@blackymiles lol to get the yellow bleach stain out use a baking soda hydrogen peroxide paste on the stain and throw in the washer,0.0,False,False,True,False,False,False,False,eng
134,139,4930,21495,The John Cantlie video issued by Al Furqan media is a new level of the Jihadi propaganda: promises more episodes &amp; wages ideological warfare,0.0,False,False,True,False,False,True,False,eng
135,140,1623,6350,@kate_beckwith74 don't judge me monkey,0.0,False,False,True,False,False,False,False,eng
136,141,3636,15521,"RT @HoodJesusYo: Last name, Sinner
First name, Imma
Like ur pancakes in tha mornin, 
He got u covered like Aunt Jemima",0.0,False,False,True,False,False,False,False,eng
137,145,3822,16376,"RT @Mari_813: ""Bae"" means ""before anything else"" I always thought it was a ghetto word for ""babe""",0.0,False,False,True,False,False,False,False,eng
138,146,2515,10009,I already know you trash if being tatted is on the list of things you want in a nigga..,1.0,True,False,True,False,False,False,False,eng
139,147,858,3700,"@JuanYeeze shut yo beaner ass up spic and hop your faggot ass back across the border little nigga, go listen to some pitbull",1.0,False,False,True,False,False,False,True,eng
140,148,2129,8427,"Charlie Kimball: ""I had nowhere to go"" http://t.co/x5gyZ46koT #IndyCar #MAVTV500",0.0,False,False,True,False,True,False,False,eng
141,149,5105,22291,Turn on the magic of colored light. #longexposure #lightwriting http://t.co/Um8LBsd6p9,0.0,False,False,True,False,False,False,False,eng
142,151,4063,17477,RT @Sum_Pfeif: Did @wagggggie seriously steal my Halloween Oreos ? &#128530;,0.0,False,False,True,False,False,False,False,eng
143,153,239,1014,&#128520;&#127383; we snap chatted for one night lol. But you're cute. Snapchat me back nig,0.0,False,False,True,False,False,False,False,eng
144,154,248,1087,&#8220;@ATrue_Cowboy: Truth about any distance for all you love birds out there! http://t.co/1Kqnw4LJ&#8221;,0.0,False,False,False,True,False,False,False,eng
145,155,589,2720,@CBSThisMorning @charlierose racist @NorahODonnell tx trash racist why wld u intvw @MittRomney n ask racist questions itwas so disrespectful,1.0,True,False,True,False,False,False,False,eng
146,156,281,1298,&#8220;@HeyKeifer: Oreos are basically dirt circles with cream.&#8221; True.,0.0,False,False,True,False,False,False,False,eng
147,157,4166,17969,RT @VainHumility: Naming my son Caesar. Dawn of the apes is the absolute best movie I've ever seen in my entire life.,0.0,False,False,True,False,False,False,False,eng
148,159,5079,22181,Thursdays really been trash this season @nfl,0.0,True,False,True,False,False,False,False,eng
149,160,1588,6221,"@jasonjwilde On that 4th down incompletion, both the slants looked like better options. Shame, but there&#8217;s a youth &amp; lack of trust going on.",0.0,False,False,True,False,False,False,False,eng
150,161,5430,23976,i get what that girls point seems to be but colored people died during the holocaust and 9/11. ((if that's a picture of the holocaust idk)),0.0,False,False,True,False,False,False,False,eng
151,162,3130,13355,Niggas wear wigs more than bitches these days.,1.0,False,False,False,True,False,False,False,eng
152,163,2654,10793,I need to chat with @SpaceJam_Teeg . Where dat nicca at? Lol,1.0,False,False,True,False,False,False,False,eng
153,164,1906,7357,@yfly23 mock draft?,0.0,False,False,True,False,False,False,False,eng
154,165,2829,11855,Is dare any colored players in hockey?,0.0,False,False,True,False,False,False,False,eng
155,168,4863,21188,Stu a rape faced faggot man I'm sick of this nigga,1.0,False,False,True,False,False,False,True,eng
156,169,2279,8988,Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,False,False,True,False,False,False,False,eng
157,171,3752,16072,RT @Kriegsson: On Nigger Day we honor nigger traditions by not working.,1.0,False,False,True,False,False,False,False,eng
158,173,3535,15053,RT @Drfreezeburnn: Just spent a good twenty mins trying to teach my bird the skyrim theme song. Then I realized that he was a bird.,0.0,False,False,False,True,False,False,False,eng
159,175,2963,12473,Little fucking gook who smells like shit. An than thinking they're the motherfuckin boss. THE FUCK!,1.0,False,False,True,False,False,False,False,eng
160,178,4943,21514,The Yankees still suck! @nikaaaa3,0.0,False,False,False,False,True,False,False,eng
161,179,5198,22648,What's worse than #Ebola ? The F-ing retards trying to make it a race issue. Al Sharpton has caused more American death than ebola.,1.0,False,True,False,False,False,False,False,eng
162,180,2212,8725,Did the Italian bird just call Janet a calzone? #UNCLEtweet,0.0,False,False,False,True,False,False,False,eng
163,181,250,1091,&#8220;@AbstractLife: @NigelDixon1 @SeanTHarrington Orton is trash idc&#8221; he ain't been playing. Trashlex Smith only sat out Kaep took his spot.,0.0,True,False,True,False,False,False,False,eng
164,182,4827,21058,"Somebody please choke that fucking retard that keeps yelling ""mashed potatoes"". What a tool! #PGAChampionship",1.0,False,True,False,False,False,False,False,eng
165,183,4892,21333,Thanks @delaney_jade for coming with me last night because it's ghetto and no one else could of handled it! #Summer2014,0.0,False,False,True,False,False,False,False,eng
166,185,331,1657,&#8220;@__Black_Jesus: &#8220;@lil_aerii: Happy new year &#127882;&#127881;&#127881;&#127881;&#127881;&#127881;&#127881;&#127882;&#127882;&#8221; check yo clock Hun we got another hour lol..&#8221;they just did the lil count down thing,0.0,False,False,False,False,True,True,False,eng
167,187,5054,22100,This my dog telling me he is done playing frisbee for now.. lazy mutt http://t.co/l4AocjczsH,0.0,False,False,True,False,False,False,False,eng
168,188,3570,15195,"RT @FilmFatale_NYC: Wow, he basically just told his daughter ""I want some mocha colored grandbabies!"" #HTGAWM",0.0,False,False,True,False,False,False,False,eng
169,189,2225,8773,"Dominoes, moonlit lake, Velvet Underground, honey whiskey = white trash heaven. I accept your ridicule...but just tonight.",0.0,True,False,True,False,False,False,False,eng
170,191,4285,18594,"RT @audizzle: Quote of last night, @GinaGaus telling me to find her a curved stick and she'll make a crossbow to shoot a bird down",0.0,False,False,False,True,False,False,False,eng
171,192,5201,22681,When a pussy nigga socks you and doesn't knock you out.,1.0,False,False,True,True,False,False,False,eng
172,193,4088,17621,"RT @Thatindianbruh: Rise of the planet of the apes doin a musical???

http://t.co/9ZxzlHti2M",0.0,False,False,True,False,False,False,False,eng
173,194,1924,7460,A nicca say he ballin ask em where his title n his deeds at not wher his clothes n his keys at,1.0,False,False,True,False,False,False,False,eng
174,195,4006,17228,"RT @SeanTheTerrible: I don't care how pretty you are, if your personality is trash men are going to treat you accordingly.. That's not tru&#8230;",0.0,True,False,True,False,False,False,False,eng
175,196,2216,8747,"Dis nicca @DB_Scooch went in on dat ""I Keep tryin""",0.0,False,False,True,False,False,False,False,eng
176,197,4159,17941,RT @UnnagroundKing: RT @JoshHelaku: I don't care who Kendrick made that song for it's still trash,0.0,True,False,True,False,False,False,False,eng
177,198,3975,17126,"RT @Rockprincess818: Go fight against the IDF if you progressive trash hate them so much, you don't have the guts to do it. 
#IStandWithIsr&#8230;",0.0,True,False,True,False,False,False,False,eng
178,199,3870,16586,RT @NFLTalkRT: RT if your team is trash,0.0,True,False,True,False,False,False,False,eng
179,200,4315,18749,RT @chelseaxlaser: I really need to take my rose colored glasses off though. I gotta stop thinking everybody does shit with good intentions&#8230;,0.0,False,False,True,False,False,False,False,eng
180,201,2336,9178,Fredo was a bitch ass nigga. How niggas fire over 20 shots at his pops but he didn't get off 1 cuz he dropped the gun smh,1.0,False,False,True,True,False,False,False,eng
181,202,3993,17174,RT @STROCORLEONE @ThoughtsOfRandy @Yummys_World all deze hoes got past demons in em... YOLO nigga lol + Hahahahaha,1.0,False,False,True,True,False,False,False,eng
182,204,5120,22383,"Uncalled for &#8220;@NoBeeetch: All trash ""@Trelaire1st: 16. Which one the best? http://t.co/KmOrdNEZRZ""&#8221;",0.0,True,False,True,False,False,False,False,eng
183,205,1150,4728,"@SoftestMuffin @_tee13 @TorahBlaze will convince u that is a lame, you, a nigger liver believes it cuz you a nigger whore",1.0,False,False,True,True,False,False,False,eng
184,207,2913,12190,Kanyeeeeeee is just a yard ape acting idiot!just stupid...,0.0,False,False,True,False,False,False,False,eng
185,208,3589,15280,RT @FunnyOGtweets: When rednecks fool around with the aux cord http://t.co/Tyzuro7qR5,0.0,True,False,False,False,False,False,False,eng
186,209,475,2334,@37738921 reminds me of Oreos lmao,0.0,False,False,True,False,False,False,False,eng
187,211,1595,6254,@jesseleesoffer it totally does. smells like brownies every day i walk to work.,0.0,False,False,True,False,False,False,False,eng
188,213,1488,5908,@edouglas528 That would be your Yankees Earl....we all know they should win all 162,0.0,False,False,False,False,True,False,False,eng
189,214,1504,5932,@eonline @KimKardashian @kanyewest mr. and mrs trash,0.0,True,False,True,False,False,False,False,eng
